product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/urbano-fashion-slim-men-grey-jeans/p/itm9321052fc44ab?pid=JEAG5S7JGM6WHFTE&lid=LSTJEAG5S7JGM6WHFTEMLIFQT&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN7_z1S9BKZLhBTvdKn__MFBJcEDpOTwuxaSsp7dhpRbyw%3D%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Grey Jeans,Urbano Fashion ,499,0.68,3.8,1298
https://www.flipkart.com/jaar-fashion-jogger-fit-men-grey-jeans/p/itm0a3fa7f9c8547?pid=JEAH39GVMBBHDGPK&lid=LSTJEAH39GVMBBHDGPKYTEZBD&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN6WooWuT0QivNwIvVoM8U_hL_A3Rfc_q1tpOErxeHMzGg%3D%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Jogger Fit Mid Rise Grey Jeans,JAAR FASHION ,498,0.75,3.6,21809
https://www.flipkart.com/brexx-slim-men-black-jeans/p/itm0bce96d328c7e?pid=JEAH2RMSY96Z95KP&lid=LSTJEAH2RMSY96Z95KPTHXFIH&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAH2RMSY96Z95KP.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Black Jeans,BREXX ,497,0.8,3.8,417
https://www.flipkart.com/snitch-relaxed-fit-men-dark-blue-jeans/p/itm0a31f4756860a?pid=JEAHE8YG2SRDKFU7&lid=LSTJEAHE8YG2SRDKFU72JVGWN&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAHE8YG2SRDKFU7.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Relaxed Fit Mid Rise Dark Blue Jeans,Snitch ,1799,,,
https://www.flipkart.com/wanted-straight-fit-men-grey-jeans/p/itm772ab443d0e45?pid=JEAH9NHS36G8ZQHG&lid=LSTJEAH9NHS36G8ZQHGIELLWO&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&spotlightTagId=default_BestsellerId_clo%2Fvua%2Fk58%2Fi51&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAH9NHS36G8ZQHG.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Straight Fit Mid Rise Grey Jeans,Wanted ,453,0.82,3.6,2146
https://www.flipkart.com/wrogn-slim-men-blue-jeans/p/itmb667eca9cc9a8?pid=JEAGR5MYZMUSDZAC&lid=LSTJEAGR5MYZMUSDZAC9TAJA6&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN4phQxYE_azxQbjilcsI6BOBRnIHPeZIB_Bp6NqxP_5zonfEY2D5bWfIUmTlXs_oiU%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Blue Jeans,WROGN ,939,0.53,4,650
https://www.flipkart.com/brexx-straight-fit-men-blue-jeans/p/itm303a210057cf6?pid=JEAH3AHFDJRJN9EU&lid=LSTJEAH3AHFDJRJN9EU9PQ4LS&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAH3AHFDJRJN9EU.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Straight Fit Mid Rise Blue Jeans,BREXX ,499,0.8,3.7,1935
https://www.flipkart.com/killer-skinny-men-blue-jeans/p/itme5b3f121a474d?pid=JEAHCCYZRVUCA8ZD&lid=LSTJEAHCCYZRVUCA8ZDBKHF0Q&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN4AwffcZOPUhWTJzKFdw33WXwmLfwe43tXHJkxW71c_L_cUmN_6PwCReg_VTM4VLxo%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Skinny Mid Rise Blue Jeans,KILLER ,1553,0.58,4.1,42
https://www.flipkart.com/integriti-slim-men-dark-green-jeans/p/itme67cb18c3a658?pid=JEAHAPD3BNQRZMC7&lid=LSTJEAHAPD3BNQRZMC7KRT5M4&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=en_KSmnf5MZ_UkCyc0unjEFavAGCsuG9s1qpELpKqTeeN7sq5D2ZUw2aWBBdQUAGMl7Xz5e_UsWkCK0JqunN5z6f-I7uWi7bi3WLqk6JF-UYDE%3D&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Slim Mid Rise Dark Green Jeans,INTEGRITI ,884,0.71,4,69
https://www.flipkart.com/red-tape-regular-men-blue-jeans/p/itm8dd37b22a35dc?pid=JEAH78PWXZH5GG9H&lid=LSTJEAH78PWXZH5GG9H4XS7C8&marketplace=FLIPKART&q=jeans+for+men&store=clo%2Fvua%2Fk58%2Fi51&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=f83f3538-a877-4f04-a4ad-b4e72ab343f3.JEAH78PWXZH5GG9H.SEARCH&ppt=sp&ppn=sp&ssid=nck92qx8kw0000001753609671838&qH=55d5af2f46904576,Men Regular Mid Rise Blue Jeans,RED TAPE ,899,0.85,4,689
